37001 888888 4237.14
37002 888888 5832.72
37020 888888 2293.51
37039 888888 2301.64
37054 888888 3973.79
37076 888888 3113.14
37136 888888 1388.44
37145 888888 6859.24
37146 888888 4908.69
37169 888888 72.15
37186 888888 3849.17
37210 888888 6504.1
37234 888888 8881.48
37245 888888 1531.64
37248 888888 9364.73
37284 888888 1332.65
37300 888888 8193.88
37332 888888 9388.03
37367 888888 300.44
37388 888888 9332.52
37405 888888 1025.26
37415 888888 140.32
37428 888888 5896.66
37436 888888 3849.9
37454 888888 3248.8
37470 888888 1230.94
37477 888888 666.61
37538 888888 7203.55
37564 888888 9806.99
37577 888888 1582.34
37592 888888 1969.6
37608 888888 7064.15
37643 888888 8062.96
37649 888888 2583.51
37671 888888 7359.89
37672 888888 8574.99
37737 888888 6071.79
37742 888888 259.45
37787 888888 8283.67
37844 888888 8834.27
37848 888888 8898.72
37860 888888 9492.8
37872 888888 4933.12
37888 888888 3225.68
37904 888888 1932.39
37904 888888 5720.54
37931 888888 6612.89
37967 888888 8995.55
37993 888888 9090.43
37995 888888 2628.41
